wa_inventory_id,generic_strain_id,first_rtl_sale,latest_rtl_sale,wholesale_cogs,ttl_rtl_sales,units_sold
6033569260002486,9,2015-04-24,2015-06-22,1648.00,3789.43,103
6033569260002387,9,2015-04-10,2015-05-06,495.00,1430.84,45
6033569260002361,9,2015-03-26,2015-04-03,225.00,1802.75,32
6033569260002955,9,2015-10-31,2015-11-04,300.00,586.40,16
6033569260002503,9,2015-05-15,2016-04-30,1020.00,1875.70,49
6033569260002359,9,2015-03-25,2015-04-16,1080.00,2960.73,144
6033569260002924,9,2015-07-29,2015-11-03,770.00,9962.80,639
6033569260002824,9,2015-06-27,2015-08-05,300.00,916.30,100
6033569260002822,9,2015-07-12,2015-11-30,300.00,679.87,100
6033569260002466,9,2015-04-15,2015-05-13,1020.00,2627.00,60
6033569260003053,9,2015-08-21,2015-08-28,700.00,2038.55,50
6033569260002484,9,2015-04-16,2015-04-30,1470.00,3196.20,35
6033569260002482,9,2015-04-16,2015-05-31,1800.00,6098.62,304
6033569260002483,9,2015-04-16,2015-05-19,1575.00,4790.01,75
6033569260002513,9,2015-05-08,2015-07-06,1000.00,2640.38,75
6033569260002582,9,2015-05-06,2015-05-07,113.34,414.05,10
6033569260002590,9,2015-05-08,2015-07-30,3000.00,13855.44,345
6033569260002591,9,2015-05-11,2015-06-21,4950.00,14628.00,300
6033569260002603,9,2015-09-26,2015-10-04,25.00,68.29,10
6033569260002626,9,2015-05-22,2015-06-13,100.00,228.02,20
6033569260002653,9,2015-05-24,2015-07-15,200.00,427.32,37
6033569260002645,9,2015-05-24,2015-06-05,50.00,137.90,10
6033569260002655,9,2015-05-26,2015-06-25,100.00,263.68,19
6033569260002680,9,2015-06-02,2015-07-14,250.00,408.91,50
6033569260002705,9,2015-06-09,2015-11-14,250.00,324.31,49
6033569260002737,9,2015-06-20,2015-07-22,45.00,100.83,15
6033569260002783,9,2015-06-16,2015-11-14,250.00,695.90,50
6033569260002768,9,2015-06-18,2015-07-03,35.00,115.62,10
6033569260002756,9,2015-06-17,2015-10-20,150.00,453.16,44
6033569260002758,9,2015-06-18,2015-07-11,80.00,98.08,10
6033569260002770,9,2015-06-24,2015-07-03,25.00,64.90,4
6033569260002788,9,2015-06-16,2015-06-26,70.00,160.96,5
6033569260002794,9,2015-06-17,2015-07-15,135.00,268.68,30
