wa_inventory_id,generic_strain_id,first_rtl_sale,latest_rtl_sale,wholesale_cogs,ttl_rtl_sales,units_sold
6033564920000262,17,2014-08-03,2014-08-07,360.00,1358.31,44
6033564920000263,17,2014-08-06,2014-08-09,75.00,292.49,15
6033488250000587,17,2014-10-08,2014-12-02,339.84,639.06,14
6033488250000579,17,2014-10-15,2015-01-24,297.36,636.20,10
6033488250000584,17,2014-10-15,2014-11-07,339.84,1225.62,24
6033488250000578,17,2014-10-14,2014-11-10,297.36,1002.73,12
6033356330001585,17,2015-01-12,2015-01-15,140.00,420.00,2
6033356330001586,17,2015-01-30,2015-01-30,133.00,340.00,1
6033356330001584,17,2015-01-09,2015-01-12,147.00,448.00,4
6033488250000409,17,2014-09-24,2014-10-31,617.60,1929.60,40
6033488250000395,17,2014-09-15,2014-09-25,269.95,831.02,10
6033488250000394,17,2014-09-15,2014-09-19,616.90,1899.61,40
6033488250000408,17,2014-10-10,2014-12-18,270.20,672.10,10
6033488250000452,17,2014-09-26,2014-10-07,129.50,459.95,5
6033488250000451,17,2014-09-21,2014-09-29,103.60,370.93,7
6033488250000494,17,2014-09-30,2014-10-04,283.20,869.28,19
6033488250000496,17,2014-09-30,2014-09-30,123.90,334.26,4
6033488250000495,17,2014-09-30,2014-11-19,283.20,974.40,20
6033488250000497,17,2014-10-15,2014-11-23,123.90,414.87,5
6033356330001915,17,2015-01-21,2015-01-27,980.00,838.30,17
6033240110002260,17,2015-03-10,2015-05-07,440.07,1512.33,49
6033240110002264,17,2015-04-24,2015-05-08,440.07,1068.56,49
6033240110002215,17,2015-03-08,2015-04-10,440.07,1521.44,49
6033240110002269,17,2015-04-28,2015-05-08,440.07,1094.17,50
6033240110002214,17,2015-03-05,2015-05-14,440.07,1636.48,53
6033240110002272,17,2015-03-15,2015-03-22,281.68,935.16,16
6033240110002271,17,2015-04-04,2015-05-08,440.07,1490.38,51
6033240110002261,17,2015-04-18,2015-05-08,440.07,1220.14,51
6033240110002273,17,2015-03-24,2015-03-29,281.68,935.13,16
6033240110002263,17,2015-03-12,2015-05-07,440.07,1534.26,50
6033488250000580,17,2014-11-09,2014-12-19,319.20,668.84,12
6033488250000588,17,2014-12-01,2015-01-01,364.80,1047.14,23
6033488250000585,17,2014-11-06,2014-12-14,364.80,914.10,24
6033488250000589,17,2014-12-01,2014-12-01,364.80,1052.16,24
6033488250000582,17,2015-01-01,2015-01-01,319.20,379.49,6
6033488250000583,17,2015-01-01,2015-01-01,319.20,252.99,4
6033564920000884,17,2014-12-19,2015-04-03,27.50,48.15,10
6033488250000669,17,2014-10-28,2015-02-01,277.20,639.34,11
6033488250000668,17,2014-12-03,2014-12-09,331.20,125.35,3
6033564920000780,17,2014-11-25,2014-12-18,425.00,1117.09,49
6033564920000781,17,2014-11-24,2015-01-02,500.00,1370.00,102
6033488250000586,17,2014-11-01,2015-02-09,364.80,862.48,24
6033488250000581,17,2014-11-16,2015-02-09,319.20,615.75,12
6033564920000705,17,2014-11-13,2014-11-22,50.00,111.00,10
6033564920000693,17,2014-12-10,2015-01-30,499.52,1024.92,28
6033564920000840,17,2015-01-31,2015-02-03,90.00,33.65,5
6033564920000667,17,2014-11-13,2014-11-19,25.00,87.65,5
6033564920000652,17,2015-02-11,2015-02-24,446.00,202.33,15
6033564920000716,17,2014-11-20,2015-04-18,231.28,411.20,28
6033488250001473,17,2015-01-07,2015-02-06,156.00,508.07,39
6033488250001465,17,2015-01-08,2016-08-08,132.00,549.00,15
6033356330000879,17,2014-12-21,2015-01-09,2247.40,6224.16,168
6033580220000353,17,2014-11-21,2015-02-27,1316.00,3222.43,94
6033356330000833,17,2014-11-28,2015-01-10,846.08,753.48,42
6033356330000831,17,2014-11-27,2015-01-03,1322.00,542.80,59
6033356330000835,17,2014-11-27,2015-02-11,647.78,651.37,11
6033356330000881,17,2015-09-16,2015-10-01,2776.20,3400.97,124
6033356330000877,17,2014-12-28,2015-01-04,2247.40,6291.35,170
6033564920001076,17,2014-12-19,2015-01-04,91.60,228.07,20
6033356330000881,17,2015-09-16,2015-10-01,945.00,3400.97,124
6033356330001164,17,2014-12-20,2014-12-20,185.08,247.01,1
6033356330001161,17,2015-01-03,2015-04-20,1890.46,3441.29,288
6033356330001162,17,2015-01-11,2015-02-23,1890.46,2821.41,143
6033356330001733,17,2015-01-12,2015-01-14,57.50,114.15,5
6033356330001737,17,2015-04-14,2015-04-14,133.00,215.99,1
6033356330001735,17,2015-01-12,2015-01-14,110.25,210.05,3
6033356330001734,17,2015-01-12,2015-01-14,96.25,191.78,5
6033356330001736,17,2015-01-21,2015-01-21,70.00,139.99,1
6033356330001012,17,2014-12-05,2014-12-12,269.85,763.20,10
6033356330001007,17,2014-12-05,2014-12-11,771.00,2497.93,98
6033564920000984,17,2014-12-12,2014-12-27,9.00,32.38,2
6033564920002312,17,2015-09-02,2015-09-02,150.00,11.51,1
6033564920001176,17,2015-01-02,2015-02-15,50.00,217.60,25
6033488250001315,17,2014-12-15,2015-01-12,192.00,365.29,10
6033488250001285,17,2015-03-07,2015-03-15,56.00,136.08,7
6033564920001011,17,2014-12-11,2014-12-14,45.80,114.60,8
6033484270019446,17,2015-10-30,2015-11-02,178.80,408.28,60
6033484270019447,17,2015-10-30,2015-12-01,715.20,1579.13,229
6033484270019448,17,2015-11-01,2016-02-01,1040.00,2071.69,100
6033488250001514,17,2015-01-31,2015-01-31,79.20,324.21,22
6033356330001330,17,2015-02-01,2015-04-14,561.00,1513.75,51
6033356330001328,17,2015-01-26,2015-04-05,586.50,1577.96,103
6033356330001334,17,2015-02-13,2015-03-28,490.00,1179.97,14
6033356330001332,17,2015-02-07,2015-04-23,514.50,1330.28,29
6033240110002274,17,2015-01-26,2015-01-30,172.49,542.70,49
6033477970001104,17,2015-03-14,2015-03-29,90.00,287.61,30
6033240110002276,17,2015-01-27,2015-01-30,172.49,541.50,49
6033488250001516,17,2014-12-30,2015-01-16,120.00,447.76,30
6033488250001511,17,2014-12-30,2015-01-15,82.00,304.63,41
6033356330001530,17,2014-12-27,2015-01-08,211.75,602.81,11
6033356330001529,17,2014-12-28,2014-12-28,180.00,246.60,15
6033356330001572,17,2015-01-06,2015-03-12,150.00,379.78,23
6033488250001347,17,2014-12-31,2015-01-10,96.00,263.80,24
6033356330001573,17,2015-01-23,2015-03-12,115.00,278.31,9
6033356330001873,17,2015-01-19,2015-02-05,100.63,198.77,5
6033488250001344,17,2014-12-30,2015-01-16,376.00,1033.14,94
6033488250001510,17,2014-12-30,2015-01-18,36.00,99.27,9
6033488250001509,17,2014-12-30,2015-03-19,268.00,711.40,67
6033564920001406,17,2015-01-22,2015-01-25,12.50,23.92,5
6033564920001403,17,2015-01-22,2015-01-24,30.00,77.28,3
6033564920001405,17,2015-01-03,2015-01-08,52.50,124.20,3
6033564920001404,17,2015-01-10,2015-01-23,25.00,59.80,5
6033564920001411,17,2015-01-07,2015-01-22,25.00,68.08,5
6033488250002241,17,2015-04-05,2015-04-18,160.00,134.65,5
6033488250001563,17,2015-01-06,2015-01-10,16.00,46.42,2
6033356330001610,17,2015-01-07,2015-01-24,496.00,1744.43,100
6033356330001696,17,2015-01-11,2015-01-24,600.00,1994.26,100
6033356330001852,17,2015-01-19,2015-02-01,120.00,233.19,10
6033240110002275,17,2015-01-31,2015-03-08,261.04,776.98,50
6033303330000293,17,2015-05-18,2015-07-12,120.00,258.36,30
6033303330000454,17,2015-05-14,2015-05-14,3.00,5.52,3
6033356330001780,17,2015-08-31,2015-08-31,440.00,302.61,44
6033356330001875,17,2015-04-18,2015-04-18,73.50,139.99,1
6033356330001749,17,2015-01-21,2015-01-25,300.00,720.27,50
6033356330001751,17,2015-01-14,2015-01-24,300.00,844.01,49
6033356330001752,17,2015-01-17,2015-01-24,962.50,2336.37,50
6033356330001750,17,2015-01-13,2015-01-24,962.50,2231.35,49
6033564920001657,17,2015-01-23,2015-02-13,65.00,188.00,10
6033488250001345,17,2015-01-16,2015-02-06,20.00,40.18,5
6033488250001724,17,2015-03-14,2015-05-09,100.00,155.32,19
6033488250001743,17,2015-03-30,2015-04-21,92.00,175.41,23
6033356330001916,17,2015-01-31,2015-03-03,1575.00,3517.86,36
6033356330001874,17,2015-01-22,2015-02-01,115.50,224.97,3
6033488250002251,17,2015-02-20,2015-03-28,160.00,405.25,20
6033356330002012,17,2015-01-26,2015-02-25,210.00,628.38,6
6033356330002013,17,2015-02-10,2015-02-21,199.50,574.00,3
6033356330002011,17,2015-01-25,2016-08-08,220.50,741.35,14
6033356330002097,17,2015-01-29,2015-02-03,446.25,1626.75,15
6033488250001860,17,2015-01-25,2015-02-06,80.00,261.92,20
6033356330002067,17,2015-01-26,2015-02-18,774.00,1751.96,135
6033356330002096,17,2015-01-29,2015-02-02,551.25,2107.46,105
6033356330002121,17,2015-01-28,2015-03-15,175.00,399.90,10
6033356330002122,17,2015-02-03,2015-03-15,157.50,374.95,5
6033356330002120,17,2015-01-28,2015-03-08,210.00,479.80,20
6033356330002168,17,2015-01-30,2015-03-14,831.25,2697.00,51
6033356330002167,17,2015-01-29,2015-03-14,237.50,976.00,53
6033564920001842,17,2015-02-12,2015-08-01,120.00,308.69,20
6033488250002209,17,2015-02-18,2015-03-14,160.00,517.01,20
6033477970001041,17,2015-03-28,2015-04-04,42.00,134.54,13
6033356330002308,17,2015-02-19,2015-02-28,864.00,2634.29,138
6033356330002375,17,2015-04-24,2015-04-25,157.50,274.58,3
6033356330002373,17,2015-02-10,2015-02-16,78.75,199.95,5
6033356330002369,17,2015-02-19,2015-03-13,95.00,239.90,10
6033356330002374,17,2015-03-20,2015-05-26,131.25,374.95,5
6033501220000218,17,2015-02-22,2015-12-03,710.00,1354.23,71
6033501220000217,17,2015-02-18,2015-04-08,425.00,906.78,86
6033356330002480,17,2015-02-22,2015-03-18,475.00,1486.25,100
6033356330002481,17,2015-03-06,2015-03-14,743.50,2248.00,50
6033356330002558,17,2015-04-30,2015-05-09,227.50,383.55,5
6033356330002557,17,2015-04-19,2015-07-05,105.00,150.42,5
6033356330002556,17,2015-04-19,2015-05-29,450.00,920.55,70
6033356330002568,17,2015-02-15,2015-03-10,450.00,2054.78,50
6033356330002569,17,2015-02-25,2015-04-19,425.00,1725.95,25
